date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:27	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Sep%202024%2009:26:26%20GMT	https://www.veteran-token.com/robots.txt		(from )
10:26:30	163073/163073	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202024%2023:34:09%20GMT	https://www.veteran-token.com/	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/index.html	(from )
10:26:34	21053/21053	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jul%202024%2005:43:40%20GMT	https://www.veteran-token.com/images/favicon.png	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/images/favicon.png	(from https://www.veteran-token.com/)
10:26:36	93899/93899	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202024%2009:31:17%20GMT	https://www.veteran-token.com/vett-token.html	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/vett-token.html	(from https://www.veteran-token.com/)
10:26:38	42387/42387	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2001%20Nov%202022%2002:19:56%20GMT	https://www.veteran-token.com/assets.squarespace.com/%40sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.veteran-token.com/)
10:26:40	117609/117609	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2001%20Nov%202022%2002:19:56%20GMT	https://www.veteran-token.com/assets.squarespace.com/%40sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.veteran-token.com/)
10:26:41	45111/45111	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2022%20Jun%202024%2002:05:04%20GMT	https://www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-f7a62af61e0cb1eb4abc-min.en-US.js	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-f7a62af61e0cb1eb4abc-min.en-US.js	(from https://www.veteran-token.com/)
10:26:42	90771/90771	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2008%20Jun%202024%2000:28:28%20GMT	https://www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-15305921bb94c505cd92-min.en-US.js	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-15305921bb94c505cd92-min.en-US.js	(from https://www.veteran-token.com/)
10:26:42	1196473/1196473	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jul%202024%2005:10:40%20GMT	https://www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	(from https://www.veteran-token.com/)
10:26:44	246250/246250	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2018%20Jun%202024%2002:19:56%20GMT	https://www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-0f51b06fac4ba1f7c845-min.en-US.js	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-0f51b06fac4ba1f7c845-min.en-US.js	(from https://www.veteran-token.com/)
10:26:45	41137/41137	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2020%20Jun%202024%2018:49:40%20GMT	https://www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/performance-913bcbeed974f8312785-min.en-US.js	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/performance-913bcbeed974f8312785-min.en-US.js	(from https://www.veteran-token.com/)
10:26:45	681093/681093	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2020%20Jun%202024%2018:50:42%20GMT	https://www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/common-vendors-48f7729e0964c8a54dd2-min.en-US.js	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/common-vendors-48f7729e0964c8a54dd2-min.en-US.js	(from https://www.veteran-token.com/)
10:26:46	1641080/1641080	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2021%20Jun%202024%2023:28:20%20GMT	https://www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/common-8f8d47f047029922bc90-min.en-US.js	C:/My%20Web%20Sites/Veteran%20token/www.veteran-token.com/assets.squarespace.com/universal/scripts-compressed/common-8f8d47f047029922bc90-min.en-US.js	(from https://www.veteran-token.com/)
